Seq2Seq20slg,translation
X-YOU HAVE CONFIRM THAT YOURSELVE .,you have confirmed that yourselves.
X-IT BE PEOPLE X-POSS PERCEPTION THAT AID BE DESC-NOT REACH PLACE WHERE X-IT BE NEED .,it is the people's perception that aid is not reaching the place where it is needed.
HOW CAN X-WE ENSURE THAT DESC-POLITICAL SITUATION IN THIS COUNTRY AND APPROACH X-ITS GOVERNMENT IMPROVE ?,how can we ensure that the political situation in this country and the approach of its government improve?
"SE MEASURE HAVE TWO DESC-BASIC STAGE , AND X-WE BE TALK ABOUT SE TWO STAGE TODAY .","these measures have two basic stages, and we are talking about these two stages today."
"THANK X-YOU DESC-VERY DESC-MUCH , MR PIEBALG , FOR SEE THAT RESPONSIBILITY MUST DESC-ALSO BE BEAR BY HAITIAN .","thank you very much, mr piebalgs, for seeing that responsibility must also be borne by haitians."
DESC-THIRD STAGE BE SOMETHING DESC-ONLY FOR X-WE .,the third stage is something only for us.
X-IT BE DESC-POSSIBLE .,it is possible.
X-IT CAN BE SET DESC-UP DESC-QUICKLY BEFORE NEXT DISASTER .,it can be set up quickly before the next disaster.
X-I CALL ON X-YOU DESC-NOW TO STOP TALK ABOUT COORDINATION AND TO ACT .,i call on you now to stop talking about coordination and to act.
SK EARTHQUAKE IN HAITUS BE DESC-IMMEDIATELY FOLLOW BY DESC-INTERNATIONAL DESC-HUMANITARIAN ASSISTANCE .,sk the earthquake in haiti was immediately followed by international humanitarian assistance.
DESC-NOT DESC-MANY COUNTRY PROVIDE DESC-RAPID AND DESC-EFFECTIVE AID .,not many countries provide rapid and effective aid.
DESC-NOT DESC-EVEN EXPERIENCE DESC-SEVERAL RESCUE GROUP BE DESC-SUFFICIENT .,not even the experience of several rescue groups is sufficient.
DESC-GOOD INTENTION DESC-ALSO REQUIRE DESC-PRACTICAL SIDE IN ORDER TO BE DESC-EFFECTIVE .,good intentions also require practical sides in order to be effective.
X-I DESC-ALSO AGREE THAT X-IT WILL BE DESC-GOOD TO FOCUS ON WHOLE ISLAND .,i also agree that it will be good to focus on the whole island.
X-I DESC-ALSO URGE X-YOU DESC-NOT TO FORGET FUTURE COMMITMENT THAT X-WE NEED TO MAKE .,i also urge you not to forget the future commitments that we need to make.
X-WE NEED TO STICK TO PLEDGE X-WE BE MAKE DESC-NOW .,we need to stick to the pledges we are making now.
"PEOPLE MUST RECEIVE CONCRETE HELP , AND DESC-NOT DESC-JUST AFTER DESC-LONG PERIOD TIME .","people must receive concrete help, and not just after a long period of time."
X-I HOPE THAT PEOPLE WILL FOCUS X-Y ATTENTION ON THIS MATTER AND THAT DESC-RAPID ACTION GROUP WILL BE ESTABLISH .,i hope that people will focus their attention on this matter and that rapid action groups will be established.
THIS HAVE BE DESC-VERY DESC-USEFUL AND DESC-VERY ENCOURAGE FOR X-WE .,this has been very useful and very encouraging for us.
"X-I WOULD LIKE TO START WITH DESC-BIGGER POLICY ISSUE , ON EU IMPROVE X-ITS RESPONSE CAPABILITY .","i would like to start with a bigger policy issue, on the eu improving its response capabilities."
X-I CAN ASSURE X-YOU THAT THIS BE DESC-VERY DESC-HIGH PRIORITY FOR X-WE TEAM .,i can assure you that this is a very high priority for our team.
"X-I CAN TELL X-YOU THAT TOMORROW , X-WE BE GO TO X-WE DESC-FIRST COUNTRY VISIT ON THIS TOPIC .","i can tell you that tomorrow, we are going to our first country visit on this topic."
THIS BE GO TO BE DESC-VERY DESC-HIGH PRIORITY FOR X-WE TEAM IN COME MONTH .,this is going to be a very high priority for our team in the coming months.
LET X-I TURN TO FOUR QUESTION THAT HAVE BE POSE .,let me turn to four questions that have been posed.
THIS BE SOMETHING X-WE BE WATCH DESC-VERY DESC-CLOSELY .,this is something we are watching very closely.
X-I WANT TO ADDRESS ISSUE SHELTER .,i want to address the issue of shelters.
X-Y DO DESC-NOT WANT TO MOVE FOR VARIETY REASON .,they do not want to move for a variety of reasons.
BUT X-WE BE ADDRESS THIS AS PRIORITY .,but we are addressing this as a priority.
LET X-I FINISH WITH QUESTION DESC-LONG TERM SUSTAINABILITY .,let me finish with the question of long term sustainability.
"X-IT BE GOVERNANCE SUSTAINABILITY , X-IT BE DESC-ALSO DESC-ECOLOGICAL SUSTAINABILITY .","it is a governance of sustainability, it is also an ecological sustainability."
"IN HAITUS , DESC-ECOLOGICALLY DESTROY ISLAND , COURSE X-IT HAVE IMPLICATION FOR SCALE THIS DESTRUCTION .","in haiti, an ecologically destroyed island, of course it has implications for the scale of this destruction."
X-WE BE THINK IN DESC-LONG TERM WHEN X-WE THINK CHILE .,we are thinking in the long term when we think of chile.
THIS BE DESC-NOT IN X-MY AREA BUT X-I HAVE TO PICK X-IT DESC-UP AS DESC-FORMER WORLD BANK EMPLOYEE .,this is not in my area but I have to pick it up as a former world bank employee.
X-IT FEEL THAT WHOLE EUROPEAN SOCIETY WISH THAT EUROPEAN COMMUNITY MAKE RECONSTRUCTION DESC-MAJOR EFFORT .,it feels that the whole of european society wishes that the europeans community made reconstruction a major effort.
X-WE BE DESC-DEFINITELY DESC-NOT CREATE ANYTHING PARALLEL .,we are definitely not creating anything parallel.
X-WE BE WORK ON DESC-SAME BASIS AND ON DESC-WELL DESC-PREPARED GROUND .,we are working on the same basis and on a well prepared ground.
"REGARD COMMITMENT ON EU SIDE , X-WE HAVE MAKE DESC-POLITICAL COMMITMENT AND X-WE WILL DELIVER .","regarding commitments on the eu side, we have made political commitments and we will deliver."
X-I BELIEVE THAT DESC-SAME BE DESC-ALSO DESC-VERY DESC-TRUE FOR DESC-OR PARTICIPANT .,i believe that the same is also very true for other participants.
X-WE BE WORK ON PROPERTY RIGHTS .,we are working on property rights.
THAT BE ONE RISK ELEMENT .,that is one of the risk elements.
"X-WE HAVE LAND CADASTRE AND X-WE WILL WORK ON X-IT , BUT DESC-RE COULD BE RISK .","we have the land of castre and we will work on it, but there could be risks."
RISK COULD DESC-DEFINITELY COME FROM OWNERSHIP DESC-POLITICAL PROCESS .,the risk could definitely come from the ownership of the political process.
X-I BELIEVE THAT THIS CAN BE PUT IN PLACE AND COULD BE DESC-SUCCESSFUL .,i believe that this can be put in place and could be successful.
DESC-RE BE DESC-MANY MORE PEOPLE DESC-STILL WORK AND TRY TO DO X-Y DESC-BEST .,there are many more people still working and trying to do their best.
"X-Y BE GUARANTEE THAT , IF PROCESS BE DESC-WELL ORGANISE , X-IT WILL BE DESC-SUCCESSFUL .","they are guaranteed that, if the process is well organised, it will be successful."
DEBATE BE DESC-CLOSE .,the debate is closed.
SIT BE SUSPEND AT 13.10 AND RESUME AT 15.05,the sitting was suspended at 13.10 and resumed at 15.05
WRITE STATEMENT RULE 149,written statements rule 149
X-IT BE DESC-NOW TIME FOR X-WE TO CARRY OUT INTERIM REVIEW AID EFFORT IN HAITUS .,it is now time for us to carry out an interim review of aid efforts in haiti.
DO AID SUPPORT DESC-SUSTAINABLE DEVELOPMENT IN HAITUS ?,does the aid support sustainable development in haiti?
HOW BE DESC-ENTIRE AID EFFORT COORDINATE ?,how is the entire aid effort coordinated?
HOW BE EU REPRESENT IN DESC-FOREIGN POLICY TERM ?,how is the eu represented in foreign policy terms?
PURPOSE OFFICE DESC-HIGH REPRESENTATIVE BE TO STRENGN EU X-POSS ROLE AS DESC-GLOBAL PLAYER .,the purpose of the office of the high representative is to strengthen the eu's role as a global player.
SOME MEMBER STATE LAUNCH INDIVIDUAL AID CAMPAIGN AND DESC-OR ACT DESC-JOINTLY .,some member states launched individual aid campaigns and others acted jointly.
BARONESS ASHTON SHOULD HAVE BE DESC-RESPONSIBLE FOR ENSURE DESC-BETTER COORDINATION .,baroness ashton should have been responsible for ensuring better coordination.
"IN ADDITION , GOVERNMENT HAITUS HAVE DESC-NOT BE DESC-SUFFICIENTLY INVOLVE .","in addition, the government of haiti has not been sufficiently involved."
DESC-HIGH REPRESENTATIVE SHOULD DESC-NOW AT DESC-LAST BE REALIZE WHAT X-SHE JOB BE ALL ABOUT .,the high representative should now at last be realised what her job is all about.
X-SHE SHOULD BE MAKE DESC-CONSTRUCTIVE PROPOSAL FOR STRUCTURE DESC-HUMANITARIAN AND DESC-FINANCIAL AID FOLLOW DESC-MAJOR DISASTER .,she should be making constructive proposals for the structure of humanitarian and financial aid following major disasters.
"LADY AND GENTLEMAN , X-WE HAVE GAR DESC-HERE TODAY TO DISCUSS EUROPEAN COORDINATION AID FOR HAITUS .","ladies and gentlemen, we have gathered here today to discuss european coordination aid for haiti."
"DESC-MEANWHILE , DESC-INTERNATIONAL COMMENTATOR BE CRITICISE X-WE DESC-UNCOORDINATED ACTION .","meanwhile, international commentators are criticising our uncordinated action."
ALLOCATION BY EUROPEAN UNION EUR 1.2 BILLION FOR AID TO HAITUS BE DESC-WORTHY PRAISE .,allocation by the european union of eur 1.2 billion for aid to haiti is worthy of praise.
WORLD DONOR HAVE DECLARE THAT X-Y WILL GIVE USD 5.3 BILLION FOR RECONSTRUCTION HAITUS OVER TWO YEAR .,the world donors have declared that they will give usd 5.3 billion for reconstruction of haiti over two years.
"IN DESC-LONGER TERM , VALUE X-Y AID BE TO RISE TO USD 9.9 BILLION .","in the longer term, the value of their aid is to rise to usd 9.9 billion."
SE BE DESC-VERY DESC-OPTIMISTIC SUM .,these are very optimistic sums.
DESC-INTERNATIONAL SOCIETY HAVE LET HAITUS DESC-DOWN .,international society has let haiti down.
LET X-WE DO MORE TO MAKE DESC-UP FOR THIS DESC-NOW .,let us do more to make up for this now.
APPROVAL MINUTE DESC-PREVIOUS SIT SEE MINUTE,approval of minutes of previous sitting see minutes
QUESTION HOUR WITH PRESIDENT COMMISSION,question hour with the president of the commission
NEXT ITEM BE QUESTION HOUR WITH PRESIDENT COMMISSION .,the next item is the question hour with the president of the commission.
QUESTION ON ANY SUBJECT ON BEHALF DESC-POLITICAL GROUP .,the question on any subject on behalf of political groups.
DESC-N DESC-SECOND PART SIT QUESTION ON EMPLOYMENT SITUATION IN EUROPEAN UNION .,then the second part of the sitting questions on the employment situation in the european union.
"THIS READING BE DESC-REFORE DESC-QUITE DESC-SURPRISING , BUT X-IT BE DESC-INDEED HAPPEN .","this reading is therefore quite surprising, but it is indeed happening."
"DESC-SECONDLY , X-ITS ROLE BE TO PROMOTE INITIATIVE AND TO TAKE LEAD IN INITIATIVE .","secondly, its role is to promote initiatives and to take the lead in initiatives."
WHAT BE X-YOU VIEW ON THIS APPROACH ?,what is your view on this approach?
"AS X-YOU SAY , MR KARA , DESC-RE BE NO DECISION DESC-YET .","as you said, mr karas, there is no decision yet."
X-WE AIM TO REINFORCE PREVENTIVE AND DESC-CORRECTIVE ARM STABILITY AND GROWTH PACT .,we aim to reinforce preventive and corrective arms stability and growth pact.
"GIVE ESTIMATE TOTAL EUR 8.4 BILLION , THAT MAKE PROFIT EUR 620 MILLION .","given an estimated total of eur 8.4 billion, that makes the profit eur 620 million."
X-I WANT TO UNDERLINE THIS .,i want to underline this.
X-IT BE DESC-NOT .,it is not.
X-IT BE COORDINATION LOAN .,it is coordination of loans.
COMMISSION WILL HAVE THIS RESPONSIBILITY .,the commission will have this responsibility.
"IMF WILL DESC-ALSO BE IN SCHEME WHICH , X-I HAVE TO SAY , BE DESC-CREATIVE ONE .","the imf will also be in the scheme which, I have to say, is a creative one."
"DESC-REFORE , X-I WILL REPEAT X-IT .","therefore, I will repeat it."
TREATY SAY THAT MEMBER STATE CAN DESC-NOT BE FORCE TO TAKE ON DEBT .,the treaty says that member states cannot be forced to take on debt.
TREATY DO DESC-NOT SAY THAT X-IT BE FORBID TO TAKE ON DEBT .,the treaty does not say that it is forbidden to take on debt.
"THIS MUST BE MAKE DESC-CLEAR , OR DESC-ELSE X-IT DESC-JUST BECOME CACOPHONY ABOUT TREATY .","this must be made clear, or else it just becomes a scandal about the treaty."
X-I REPEAT TREATY DESC-CLEARLY STATE THAT MEMBER STATE CAN DESC-NOT BE FORCE TO TAKE ON DEBT .,i repeat the treaty clearly stated that member states cannot be forced to take on debt.
X-MY QUESTION BE DESC-SLIGHTLY DESC-DIFFERENT .,my question is slightly different.
X-I BE DESC-NOT DESC-HERE TO REPLY ON BEHALF MR MERKEL .,i am not here to reply on behalf of mr merkel.
X-I BE DESC-HERE TO REPLY ON BEHALF COMMISSION .,i am here to reply on behalf of the commission.
LET X-WE BE DESC-CLEAR ABOUT THAT .,let us be clear about that.
LET X-WE DESC-ALSO BE DESC-CLEAR FROM POINT VIEW COMMISSION .,let us also be clear from the point of view of the commission.
SOLUTION THAT HAVE BE FIND DESC-SCRUPULOUSLY RESPECT WHAT BE KNOW AS NO BAIL OUT CLAUSE .,the solution that has been found scrupulously respects what is known as no bail out clause.
"DESC-NATURALLY , X-WE HAVE BE DESC-VERY DESC-CAUTIOUS ON THAT POINT .","naturally, we have been very cautious on that point."
X-I WANT TO TALK ABOUT COMMUNICATION REGARD STRENGN GOVERNANCE EURO AREA .,i want to talk about the communication regarding strengthening the governance of the euro area.
X-YOU COULD AT DESC-LEAST SAY DESC-SO DESC-PUBLICLY .,you could at least say so publicly.
"THAT WOULD FORM PART DEBATE IN GERMANY , BUT X-YOU BE DESC-INCAPABLE SAY SE DESC-SIMPLE THING .","that would form part of the debate in germany, but you are incapable of saying these simple things."
X-I WOULD LIKE TO ASK ANOR QUESTION ABOUT ACTA .,i would like to ask another question about acta.
"X-YOU HAVE BE NEGOTIATE ACTA AGREEMENT AGAINST PIRACY AND COUNTERFEITING SINCE DESC-200IN MARCH , EUROPEAN PARLIAMENT RESOLUTION TELL X-YOU TO SCALE DESC-DOWN ACTA NEGOTIATION ON COUNTERFEITING .","you have been negotiating acta agreements against piracy and counterfeiting since 200in march, the european parliament resolution told you to scale down acta negotiations on counterfeiting."
"DESC-ORWISE , X-YOU BE GO TO FIND X-YOURSELF IN DESC-SAME SITUATION WITH PARLIAMENT AS X-YOU EXPERIENCE WITH SWIFT .","otherwise, you are going to find yourself in the same situation with parliament as you experienced with swift."
PARLIAMENT BE EVERY BIT AS DESC-IMPORTANT AS DESC-LARGE COMPANY .,parliament is every bit as important as large companies.
"AS X-YOU KNOW , X-Y BE GO TO BE MAKE PUBLIC TOMORROW , 21 APRIL .","as you know, they are going to be made public tomorrow, 21 april."
X-YOU SPEAK ABOUT COME INTO FORCE TREATY LISBON .,you spoke about coming into force of the treaty of lisbon.
X-WE SHALL DO X-IT .,we shall do it.
X-IT BE PARLIAMENT X-POSS INSISTENCE ON SCRAP DESC-NATIONAL OPT OUT FROM DIRECTIVE WHICH LEAD TO STALEMATE .,it is parliament's insistence on scrapping national opt outs from the directive which leads to stalemate.
"X-IT BE DESC-TOO DESC-EARLY , AT THIS STAGE , TO HAVE FIX IDEA ABOUT SUBSTANCE ANY CHANGE .","it is too early, at this stage, to have fixed ideas about the substance of any change."
"AS X-YOU KNOW , DESC-RE BE CONSULTATION PAPER THAT BE DESC-DELIBERATELY DESC-OPEN IN TONE .","as you know, there is a consultation paper that is deliberately open in tone."
X-I DESC-ALSO WANT TO HEAR DESC-SOCIAL PARTNERSVIEW .,i also want to hear a social partnershipVIEW.
THIS BE DESC-VERY DESC-DIFFICULT ISSUE AND DESC-EXTREMELY DESC-SENSITIVE ONE .,this is a very difficult issue and an extremely sensitive one.
THAT BE WHAT X-WE BE GO TO DO .,that is what we are going to do.
THAT BE WHY X-WE BE APPEAL TO DESC-SOCIAL PARTNER DESC-ALSO TO COME DESC-FORWARD WITH DESC-CONSTRUCTIVE PROPOSAL .,that is why we are appealing to the social partners also to come forward with constructive proposals.
"MR BARROSO , X-YOU HAVE SPEAK ABOUT X-YOU WORK PROGRAM AND X-IT HAVE BE DISCUSS IN PARLIAMENT .","mr barroso, you have spoken about your work programme and it has been discussed in parliament."
X-YOU HAVE SAY THAT X-YOU WANT TO FOLLOW DESC-UP ON DESC-CRITICAL REMARK .,you have said that you want to follow up on critical remarks.
X-I HAVE ONE QUESTION .,i have one question.
"DESC-RECENTLY , X-WE HAVE SPEAK DESC-GREAT DEAL ABOUT CRISIS AND HOW TO OVERCOME X-IT .","recently, we have spoken a great deal about the crisis and how to overcome it."
"DESC-HOWEVER , X-I HAVE IMPRESSION THAT DESC-VERY DESC-LITTLE HAVE CHANGE IN WAY BANK DO BUSINESS .","however, I have the impression that very little has changed in the way banks do business."
X-I WOULD DESC-ALSO BE DESC-INTERESTED TO HEAR ANSWER TO ANOR QUESTION .,i would also be interested to hear answers to another question.
DO X-YOU THINK THAT X-WE AND COMMISSION HAVE DO DESC-ENOUGH ?,do you think that we and the commission have done enough?
"X-WE HAVE DO DESC-BIG PART X-IT , BUT ANOR DESC-IMPORTANT PART REMAIN TO BE DO .","we have done a big part of it, but another important part remains to be done."
X-I THINK COMMISSION PROPOSAL BE DESC-RIGHT ONE .,i think the commission proposal is the right one.
"BUT X-I THINK DESC-RE BE SOME SPECIFIC THING , TO BE MORE CONCRETE , THAT X-WE CAN DO .","but I think there are some specific things, to be more concrete, that we can do."
"FOR INSTANCE , X-I BE SUPPORT IDEA BANK LEVY .","for instance, I am supporting the idea of bank levy."
"X-I THINK THAT SHOULD BE MATTER FOR GSO , AS DESC-ALWAYS , X-IT BE QUESTION BALANCE .","i think that should be a matter for the gso, as always, it is a question of balance."
"MR BARROSO , X-I HAVE ANOR BRIEF QUESTION .","mr barroso, I have another brief question."
"CHAIR DEUTSCHE BANK , DR ACKERMANN , BE DESC-DIFFICULT MAN TO MAKE IMPRESSION ON .","the chairman of the deutsche bank, dr ackermann, was a difficult man to make an impression on."
X-HE HAVE DESC-RECENTLY SAY DESC-OUTRIGHT THAT X-HE WANT TO MAKE RETURN 25 % .,he has recently said outright that he wants to make a return of 25 %.
X-HE BE DESC-NOT CHANGE ANYTHING .,he is not changing anything.
X-HE HAVE SAY THAT X-HE WANT TO MAKE RETURN 25 % DESC-ONCE DESC-AGAIN .,he has said that he wants to make a return of 25 % once again.
DESC-ABSOLUTELY DESC-NOT . COMMISSION .,absolutely not. commission.
X-I THINK X-IT BE IN INTEREST DESC-FINANCIAL SECTOR TO HAVE CREDIBILITY .,i think it is in the interests of the financial sector to have credibility.
LET X-WE BE DESC-HONEST AND DESC-OPEN ABOUT X-IT .,let us be honest and open about it.
X-WE NEED DESC-PROPER LEVEL REGULATION .,we need proper levels of regulation.
ON CONTRARY X-IT AIM AT BUILD TRUST .,on the contrary it aims at building trust.
DESC-FINANCIAL SECTOR NEED THIS KIND CREDIBILITY TO FINANCE ECONOMY .,the financial sector needs this kind of credibility to finance the economy.
THAT BE X-MY QUESTION .,that is my question.
"IN FACT , PROBLEM CREATE IN UNITE STATE BE DESC-NOT CREATE BY DESC-BIG BANK DESC-ONLY .","in fact, the problems created in the united states are not created by big banks only."
"X-IT BE DESC-ALSO CREATE BY NON DESC-COMMERCIAL BANK , BY INVESTMENT SOCIETY , BY HEDGE FUND AS DESC-WELL .","it was also created by non commercial banks, by investment societies, by hedge funds as well."
DESC-SO X-WE DO DESC-NOT AGREE WITH THAT ANALYSIS THAT X-IT BE CREATE BY DESC-BIG BANK .,so we do not agree with that analysis that it was created by the big banks.
"IN FACT , SOME DESC-BIG DESC-TRADITIONAL DESC-COMMERCIAL BANK BE DESC-NOT DESC-RESPONSIBLE FOR CRISIS .","in fact, some big traditional commercial banks are not responsible for the crisis."
"MR PRESIDENT , EUROPEAN DESC-EXTERNAL ACTION SERVICE WILL BE DESC-RESPONSIBLE TO DESC-HIGH REPRESENTATIVE .","mr president, the european external action service will be responsible to the high representative."
"COUNCIL , FOR ALL X-ITS FAULT , AT DESC-LEAST CONTAIN REPRESENTATIVE MEMBER STATE .","the council, for all its faults, at least contains representatives of member states."
X-I APOLOGISE FOR THAT WORD .,i apologise for that word.
X-IT BE DESC-NOT MINE BUT X-I SEE X-IT AS CODE FOR COUNCIL AND EUROPEAN COUNCIL .,it is not mine but I see it as a code for the council and the european council.
"DESC-FURRMORE , COURSE , DESC-HIGH REPRESENTATIVE BE EX OFFICIO VICE PRESIDENT COMMISSION .","furthermore, of course, the high representative is ex officio vice president of the commission."
WOULD X-YOU AGREE ?,would you agree?
X-I DO DESC-NOT AGREE .,i do not agree.
X-WE BE DESC-NOT DESC-RE .,we are not there.
BUT DESC-RE BE DESC-OR COMMUNITY COMPETENCE THAT SHOULD DESC-NOT GO DESC-NOW TO DESC-INTERGOVERNMENTAL ARM .,but there are other community competences that should not go now to intergovernmental arms.
"X-IT SHOULD BE KEEP , COURSE , IN COMMUNITY METHOD .","it should be kept, of course, in community methods."
"DESC-SO DESC-HIGH REPRESENTATIVE VICE PRESIDENT COMMISSION BE , AS X-WE SAY , DESC-USUALLY DESC-DOUBLE HAT .","so the high representative of the vice president of the commission is, as we say, usually double hat."
"X-SHE WILL HAVE TO PUT DESC-TOGER , USE DESC-BEST SYNERGY , THOSE TWO COMPETENCE .","she will have to put together, using the best synergy, those two competences."
"X-I CAN SEE DESC-INTERNAL CONSISTENCY WHAT X-YOU BE SAY AS EURO INTEGRATIONALIST , WHICH X-I BE DESC-NOT .","i can see internal consistency of what you are saying as euro nationalists, which I am not."
TREATY STRIKE BALANCE AND THAT BALANCE HAVE TO BE RESPECT .,the treaty strikes a balance and that balance has to be respected.
"BABY GROW PRODUCE BY X-WE COST EUR 4 5 , WHEREAS ONE FROM CHINA COST EUR X-I KNOW THAT PROTECTIONIST MEASURE BE DESC-UNDESIRABLE , BUT WHAT BE ANSWER ?","the cabby grown produced by us costs eur 4 5, whereas the ones from china cost eur 5 I know that protectionist measures are undesirable, but what are the answers?"
DESC-SO SOLUTION BE TO PROMOTE DESC-DECENT WORK AND UPGRADE DESC-SOCIAL STANDARD ALL OVER WORLD .,so the solution is to promote decent work and upgrade social standards all over the world.
THAT WILL BE SELF DEFEAT FOR X-WE .,that will be self defeating for us.
LET X-WE BE DESC-COMPLETELY DESC-CLEAR ABOUT X-IT .,let us be completely clear about it.
THAT BE X-WE PRIORITY DESC-NOW .,that is our priority now.
"THAT SAY , DESC-RE BE SOME MEASURE THAT BE TAKE DESC-SPECIFICALLY FOR EMPLOYMENT .","that said, there are some measures that are taken specifically for employment."
THAT BE WHY X-IT BE DESC-SO DESC-MUCH DESC-DEPENDENT ON CORRECTION SOME DESC-FISCAL IMBALANCE .,that is why it is so much dependent on the correction of some fiscal imbalances.
"IN 2009 , 2.7 MILLION PEOPLE IN EURO AREA LOSE X-Y JOB .","in 2009, 2.7 million people in the euro area lost their jobs."
"FACE WITH THIS SITUATION , DO X-YOU DESC-NOT THINK THAT TWO PRONG STRATEGY OUGHT TO BE IMPLEMENT ?","faced with this situation, do you not think that two leading strategies ought to be implemented?"
"ALL ISSUE X-YOU HAVE RAISE BE DEAL WITH IN 2020 STRATEGY , MR DAERDEN .","all the issues you have raised are dealt with in the 2020 strategy, mr dauer."
X-WE BE DESC-ALSO START TO SEE MORE DESC-CONSISTENT SIGN STABILISATION IN SOME MEMBER STATE .,we are also starting to see more consistent signs of stabilisation in some member states.
THAT BE WHY X-WE PRIORITY BE DESC-NOW EMPLOYMENT .,that is why our priority is now employment.
"FOR DESC-YOUNG PEOPLE , UNEMPLOYMENT BE DESC-PARTICULARLY WORRY , AS X-YOU SAY .","for young people, unemployment is particularly worrying, as you said."
X-WE HAVE MORE THAN 20 % DESC-YOUNG PEOPLE DESC-UNEMPLOYED IN EUROPE .,we have more than 20 % of young people unemployed in europe.
THAT BE WHY X-WE HAVE LAUNCH THREE INITIATIVE FOR THIS YEAR .,that is why we have launched three initiatives for this year.
TWO X-Y X-I HAVE DESC-ALREADY MENTION .,two of them I have already mentioned.
DESC-RE BE DESC-ALSO YOUTH EMPLOYMENT INITIATIVE .,there are also youth employment initiatives.
"DESC-LAST WEEK , EUROPEAN CLIMATE FOUNDATION LAUNCH ITSROADMAP 2050 .","last week, the european climate foundation launched ITSroadmap 2050."
X-WE COULD DO X-IT AT DESC-LITTLE MORE THAN COST BUSINESS AS DESC-USUAL .,we could do it at little more than cost business as usual.
BUT X-IT CAN DESC-ONLY BE DO AT EUROPEAN LEVEL .,but it can only be done at european level.
WILL COMMISSION EMBRACE THIS ROADMAP ?,will the commission embrace this roadmap?
WILL X-IT ENDEAVOR TO GIVE EUROPEAN UNION DESC-NEW ?LAN IN PROPOSE DESC-NECESSARY POLICY MEASURE ?,will it endeavour to give the european union new?LAN in proposing the necessary policy measures?
THIS OBJECTIVE BE DESC-ALSO DESC-FULLY TRANSLATE IN COMMISSION X-POSS WORK PROGRAM FOR 2010 AND BEYOND .,this objective is also fully translated in the commission's work programme for 2010 and beyond.
X-I UNDERLINE WORD INVESTMENT .,i underlined the words of investment.
"DESC-HOWEVER , MOST SE INITIATIVE COME FROM X-WE .","however, most of these initiatives come from us."
WHAT BE COMMISSION DO TO PROMOTE DIGITISATION X-WE DESC-CULTURAL HERITAGE ON EUROPEAN CONTINENT ?,what is the commission doing to promote the diversification of our cultural heritage on the european continent?
"IN THIS PERSPECTIVE , X-I HAVE ASK VICE PRESIDENT KRO AND COMMISSIONER VASSILIOU TO SET DESC-UP COMIT? DES SAGE .","in this perspective, I have asked vice president kroes and commissioner vassiliou to set up a comité de sais."
X-I LOOK DESC-FORWARD TO RECEIVE X-Y RECOMMENDATION ON SE DESC-IMPORTANT ISSUE BY END THIS YEAR .,i look forward to receiving their recommendations on these important issues by the end of this year.
SKI . DESC-GREAT RESPECT FOR PRESIDENT KACZY ?,i would like to express great respect for president kaczyński.
X-I WORK IN DESC-VERY DESC-LOYAL MANNER WITH X-HE .,i worked in a very loyal manner with him.
X-I DO EVERYTHING TO BE DESC-PRESENT AT X-HE DESC-FUNERAL .,i do everything to be present at his memorial.
SKI UNTIL DESC-VERY DESC-LAST MOMENT . DESC-FUNERAL PRESIDENT KACZY ?,president kaczyński until the very last moment.
X-IT BE NO DESC-LONGER DESC-POSSIBLE FOR X-I TO GO .,it is no longer possible for me to go.
X-WE DISCUSS THIS IN COLLEGE MEETING TODAY .,we discussed this in the college meeting today.
DO X-YOU BELIEVE THAT UNEMPLOYMENT WILL FALL IN EUROPE AS RESULT SE POLICY ?,do you believe that unemployment will fall in europe as a result of these policies?
X-WE BE DESC-NOT FORCE ANYONE TO TAKE ANY MEASURE .,we are not forcing anyone to take any measures.
"WITHOUT GROWTH , X-WE CAN DESC-NOT GENERATE EMPLOYMENT .","without growth, we cannot generate employment."
THAT BE WHY X-WE SHOULD DESC-NOT SET MACRO DESC-ECONOMIC STABILITY AND RIGOR IN CONTRADICTION OR OPPOSITION TO GROWTH .,that is why we should not set macro economic stability and rigour in contradiction or opposition to growth.
X-WE AIR QUALITY DIRECTIVE PROVIDE FOR DESC-SIGNIFICANT RESTRICTION IN THIS RESPECT .,our air quality directive provides for significant restrictions in this respect.
X-IT HAPPEN AND DESC-NOW X-WE HAVE TO REACT TO X-ITS CONSEQUENCE .,it happened and now we have to react to its consequences.
DESC-OR 99 % BE IN HAND MEMBER STATE .,other 99 % are in the hands of member states.
DO X-YOU DESC-NOT THINK THAT X-WE SHOULD DESC-ALSO EMPHASISE DEVELOPMENT MICRO ENTITY ?,do you not think that we should also emphasise the development of micro entities?
"FOR THIS BE DESC-BEST WAY TO ENCOURAGE SELF EMPLOYMENT , AND RATE SELF EMPLOYMENT BE DESC-STILL DESC-TOO DESC-LOW TODAY .","for this is the best way to encourage self employment, and rates of self employment are still too low today."
"DESC-HENCE , IN THIS CONTEXT , SE QUESTION WOULD APPEAR TO BE DESC-JUSTIFIED .","hence, in this context, these questions would appear to be justified."
X-WE BELIEVE X-IT BE DESC-IMPOSSIBLE TO DISCUSS EUROPEAN COMPETITIVENESS WITHOUT ADDRESS ISSUE EDUCATION .,we believe it is impossible to discuss european competitiveness without addressing the issue of education.
X-WE HAVE TO DISCUSS DESC-AFTERWARDS DESC-FINANCIAL PERSPECTIVE .,we have to discuss theafterwards financial perspective.
